,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45,MEANSHR,MEANGAM,TOTBSQ,TOTFZ,EPSZ,FLARE_CLASS
0,139.085,1.362996e+22,2698742000000.0,9.765,522616600000.0,1.958395e+21,104.438271,3780.177,0.0,8.361,26.182,34.38,3560000000,-233.51,-0.1244,No Flares
1,64.205,3.451338e+21,1200310000000.0,16.31,844061900000.0,7.577038e+20,83.513168,2413.01,0.0,4.457,22.381,33.088,2080100000,121.72,0.111,No Flares
2,50.958,2.658673e+21,1123229000000.0,3.743,228894200000.0,7.155764e+20,58.005363,1693.693,0.0,5.161,23.032,28.317,801140000,-70.807,-0.1676,No Flares
3,298.638,1.878875e+22,5949744000000.0,17.197,873567900000.0,7.284643e+21,94.467346,1270.331,2.479,1.832,17.819,23.882,8820800000,-2529.4,-0.5439,No Flares
4,34.045,1.087705e+21,696244400000.0,3.349,677239500000.0,4.299092e+20,70.948212,1256.177,0.0,1.84,17.962,29.503,1377500000,124.39,0.1713,No Flares
5,42.618,2.636979e+21,1034475000000.0,3.707,218978100000.0,7.239463e+20,45.735542,1580.9,0.0,2.468,22.84,26.787,818740000,-93.528,-0.2167,No Flares
6,63.689,6.240524e+21,1484000000000.0,37.447,989936500000.0,3.309536e+20,13.915862,5661.486,3.102,58.434,52.13,63.865,1020700000,115.82,0.2152,No Flares
7,512.049,4.535356e+22,10184930000000.0,31.057,1876546000000.0,1.100862e+22,240.278198,2017.405,3.434,4.389,22.116,27.156,9643400000,-2409.2,-0.4739,No Flares
8,101.281,6.757076e+21,2004474000000.0,2.794,354793200000.0,1.993967e+21,38.161613,1678.651,1.672,1.683,21.185,27.34,2128500000,-462.79,-0.4124,No Flares
9,37.066,2.363583e+21,966446500000.0,0.004,83065270000.0,8.319289e+20,30.561512,1147.484,0.0,2.386,21.788,25.508,931090000,-154.16,-0.3141,No Flares
10,165.123,1.132965e+22,3143393000000.0,56.914,3483081000000.0,1.490527e+21,95.809601,3827.311,3.125,15.657,30.148,43.369,1809500000,-189.74,-0.1989,No Flares
11,395.146,3.049771e+22,8261716000000.0,12.413,1156364000000.0,7.991164e+21,273.242401,1858.411,1.942,2.387,22.862,27.661,7428700000,-1484.9,-0.3792,No Flares
12,319.021,3.49916e+22,6583450000000.0,0.376,202766700000.0,9.746767e+21,137.213242,1687.69,3.001,6.476,19.458,28.277,9585500000,-2713.6,-0.537,No Flares
13,51.736,3.387659e+21,1359627000000.0,8.709,697172200000.0,7.129214e+20,22.501268,2026.102,0.0,11.041,27.563,32.191,1970800000,49.12,0.0473,No Flares
14,71.477,2.899649e+21,1491545000000.0,14.4,815449400000.0,7.656294e+20,63.73859,1703.118,1.197,9.75,24.397,34.611,959700000,-65.809,-0.1301,No Flares
15,322.632,2.32241e+22,7221955000000.0,5.913,1029225000000.0,5.300906e+21,272.185974,1991.735,0.0,4.715,24.71,29.565,5634300000,-723.45,-0.2436,No Flares
